Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,28.950001,29.0825,28.690001,29.0375,26.952707,115127600
2017-01-04,28.9625,29.127501,28.9375,29.004999,26.922544,84472400
2017-01-05,28.98,29.215,28.952499,29.1525,27.059456,88774400
2017-01-06,29.195,29.540001,29.1175,29.477501,27.36112,127007600
2017-01-09,29.487499,29.8575,29.485001,29.747499,27.611731,134247600
2017-01-10,29.692499,29.844999,29.575001,29.7775,27.63958,97848400
2017-01-11,29.684999,29.9825,29.65,29.9375,27.788094,110354400
2017-01-12,29.725,29.825001,29.5525,29.8125,27.672068,108344800
2017-01-13,29.7775,29.905001,29.702499,29.76,27.623333,104447600
2017-01-17,29.584999,30.059999,29.555,30,27.846104,137759200
2017-01-18,30,30.125,29.9275,29.997499,27.843781,94852000
2017-01-19,29.85,30.022499,29.842501,29.945,27.795057,102389200
2017-01-20,30.112499,30.112499,29.932501,30,27.846104,130391600
2017-01-23,30,30.202499,29.942499,30.02,27.864664,88200800
2017-01-24,29.887501,30.025,29.875,29.9925,27.839142,92844000
2017-01-25,30.105,30.525,30.07,30.469999,28.282358,129510400
2017-01-26,30.4175,30.610001,30.4,30.485001,28.296286,105350400
2017-01-27,30.535,30.5875,30.4,30.487499,28.298603,82251600
2017-01-30,30.2325,30.407499,30.165001,30.407499,28.224354,121510000
2017-01-31,30.2875,30.3475,30.155001,30.3375,28.159374,196804000
2017-02-01,31.7575,32.622501,31.752501,32.1875,29.876556,447940000
2017-02-02,31.995001,32.3475,31.945,32.1325,29.825499,134841600
2017-02-03,32.077499,32.297501,32.040001,32.27,29.953125,98029200
2017-02-06,32.282501,32.625,32.224998,32.572498,30.233896,107383600
2017-02-07,32.634998,33.022499,32.612499,32.8825,30.521658,152735200
2017-02-08,32.837502,33.055,32.805,33.009998,30.639996,92016400
2017-02-09,32.912498,33.112499,32.779999,33.105,30.861395,113399600
2017-02-10,33.115002,33.235001,33.012501,33.029999,30.791477,80262000
2017-02-13,33.27,33.455002,33.1875,33.322498,31.064161,92141600
2017-02-14,33.3675,33.772499,33.3125,33.755001,31.467348,132904800
2017-02-15,33.880001,34.067501,33.654999,33.877499,31.581545,142492400
2017-02-16,33.9175,33.974998,33.709999,33.837502,31.544262,90338400
2017-02-17,33.775002,33.9575,33.775002,33.93,31.630501,88792800
2017-02-21,34.057499,34.1875,33.994999,34.174999,31.858885,98028800
2017-02-22,34.107498,34.279999,34.0275,34.2775,31.954451,83347600
2017-02-23,34.345001,34.369999,34.075001,34.1325,31.819271,83152800
2017-02-24,33.977501,34.165001,33.82,34.165001,31.849558,87106400
2017-02-27,34.285,34.360001,34.07,34.232498,31.912489,81029600
2017-02-28,34.27,34.360001,34.174999,34.247501,31.926472,93931600
2017-03-01,34.4725,35.037498,34.400002,34.947498,32.579025,145658400
2017-03-02,35,35.07,34.689999,34.740002,32.385593,104844000
2017-03-03,34.695,34.9575,34.647499,34.945,32.576702,84432400
2017-03-06,34.842499,34.942501,34.650002,34.834999,32.474152,87000000
2017-03-07,34.764999,34.994999,34.697498,34.880001,32.516109,69785200
2017-03-08,34.737499,34.950001,34.705002,34.75,32.39492,74828800
2017-03-09,34.685001,34.697498,34.262501,34.669998,32.320339,88623600
2017-03-10,34.8125,34.84,34.66,34.785,32.42754,78451200
2017-03-13,34.712502,34.857498,34.705002,34.799999,32.441517,69686800
2017-03-14,34.825001,34.912498,34.709999,34.747501,32.392586,61236400
2017-03-15,34.852501,35.1875,34.7575,35.115002,32.735188,102767200
2017-03-16,35.18,35.255001,35.064999,35.172501,32.788776,76928000
2017-03-17,35.25,35.25,34.9725,34.997501,32.625633,175540000
2017-03-20,35.099998,35.375,35.057499,35.365002,32.968243,86168000
2017-03-21,35.5275,35.700001,34.932499,34.959999,32.590687,158119600
2017-03-22,34.962502,35.400002,34.939999,35.355,32.958904,103440800
2017-03-23,35.314999,35.395,35.1525,35.23,32.842388,81385200
2017-03-24,35.375,35.435001,35.087502,35.16,32.777134,89582400
2017-03-27,34.8475,35.305,34.654999,35.220001,32.833061,94300400
2017-03-28,35.227501,36.009998,35.154999,35.950001,33.513596,133499200
2017-03-29,35.919998,36.122501,35.797501,36.029999,33.588161,116760000
2017-03-30,36.047501,36.125,35.875,35.982498,33.543877,84829200
2017-03-31,35.93,36.067501,35.752499,35.915001,33.480961,78646800
2017-04-03,35.927502,36.029999,35.762501,35.924999,33.490276,79942800
2017-04-04,35.8125,36.2225,35.7925,36.192501,33.739643,79565600
2017-04-05,36.055,36.365002,35.952499,36.005001,33.564861,110871600
2017-04-06,36.072498,36.130001,35.862499,35.915001,33.480961,84596000
2017-04-07,35.932499,36.044998,35.817501,35.834999,33.40638,66688800
2017-04-10,35.900002,35.970001,35.724998,35.7925,33.366772,75733600
2017-04-11,35.735001,35.837502,35.014999,35.407501,33.007851,121517600
2017-04-12,35.400002,35.537498,35.252499,35.450001,33.047474,81400000
2017-04-13,35.477501,35.595001,35.262501,35.262501,32.872677,71291600
2017-04-17,35.369999,35.470001,35.217499,35.4575,33.054466,66328400
2017-04-18,35.352501,35.509998,35.2775,35.299999,32.907646,58790000
2017-04-19,35.470001,35.5,35.112499,35.169998,32.786442,69313600
2017-04-20,35.305,35.73,35.290001,35.610001,33.196632,93278400
2017-04-21,35.610001,35.669998,35.462502,35.567501,33.157021,69283600
2017-04-24,35.875,35.987499,35.794998,35.91,33.476299,68537200
2017-04-25,35.977501,36.224998,35.967499,36.1325,33.683723,75486000
2017-04-26,36.1175,36.150002,35.845001,35.919998,33.485626,80164800
2017-04-27,35.98,36.040001,35.827499,35.947498,33.511253,56985200
2017-04-28,36.022499,36.075001,35.817501,35.912498,33.478634,83441600
2017-05-01,36.275002,36.799999,36.240002,36.645,34.161488,134411600
2017-05-02,36.884998,37.022499,36.709999,36.877499,34.378227,181408800
2017-05-03,36.397499,36.872501,36.067501,36.764999,34.27335,182788000
2017-05-04,36.630001,36.785,36.452499,36.6325,34.14983,93487600
2017-05-05,36.689999,37.244999,36.689999,37.240002,34.71616,109310800
2017-05-08,37.2575,38.424999,37.2575,38.252499,35.660046,195009600
2017-05-09,38.467499,38.720001,38.362499,38.497501,35.888432,156521600
2017-05-10,38.407501,38.485001,38.0275,38.314999,35.718307,103222800
2017-05-11,38.112499,38.517502,38.077499,38.487499,36.027225,109020400
2017-05-12,38.674999,39.105,38.6675,39.025002,36.530357,130108000
2017-05-15,39.002499,39.162498,38.762501,38.924999,36.436741,104038800
2017-05-16,38.985001,39.014999,38.68,38.8675,36.382923,80194000
2017-05-17,38.400002,38.642502,37.427502,37.5625,35.16135,203070800
2017-05-18,37.817501,38.334999,37.782501,38.134998,35.697243,134272800
2017-05-19,38.345001,38.494999,38.157501,38.264999,35.818939,107843200
2017-05-22,38.5,38.645,38.227501,38.497501,36.036572,91865600
2017-05-23,38.724998,38.724998,38.327499,38.450001,35.992115,79675600
2017-05-24,38.459999,38.5425,38.1675,38.334999,35.884457,76712000
2017-05-25,38.432499,38.587502,38.2575,38.467499,36.008492,76942400
2017-05-26,38.5,38.560001,38.327499,38.4025,35.947643,87710400
2017-05-30,38.355,38.607498,38.3325,38.4175,35.961689,80507600
2017-05-31,38.4925,38.5425,38.095001,38.189999,35.748737,97804800
2017-06-01,38.2925,38.3325,38.055,38.294998,35.847019,65616400
2017-06-02,38.395,38.862499,38.2225,38.862499,36.378239,111082800
2017-06-05,38.584999,38.612499,38.365002,38.482498,36.02253,101326800
2017-06-06,38.474998,38.952499,38.445,38.612499,36.144222,106499600
2017-06-07,38.755001,38.994999,38.619999,38.842499,36.359524,84278400
2017-06-08,38.8125,38.884998,38.599998,38.747501,36.270592,85003200
2017-06-09,38.797501,38.797501,36.505001,37.244999,34.864136,259530800
2017-06-12,36.435001,36.522499,35.627499,36.355,34.031033,289229200
2017-06-13,36.790001,36.862499,36.287498,36.647499,34.30484,136661600
2017-06-14,36.875,36.875,35.959999,36.290001,33.970184,126124800
2017-06-15,35.830002,36.119999,35.552502,36.072498,33.76659,128661600
2017-06-16,35.945,36.125,35.549999,35.567501,33.293865,201444400
2017-06-19,35.915001,36.685001,35.915001,36.584999,34.246319,130165600
2017-06-20,36.717499,36.717499,36.235001,36.252499,33.935081,99600400
2017-06-21,36.380001,36.517502,36.1525,36.467499,34.136337,85063200
2017-06-22,36.442501,36.674999,36.279999,36.407501,34.08017,76425200
